Comment,Designator,Footprint,LCSC, LCSC, req
"1n","C6,C7,C4,C3,C5","Capacitors_SMD:C_0805","","C15177","100V/X7R/10%"
"100n","C8,C1,C2","Capacitors_SMD:C_0805","","C28233","100V/X7R/10%"
"480u","C9,C10","Capacitors_Tantalum_SMD:Tantalum_Case-D_EIA-7343-31_Reflow","","C106188","Tantal/3,3VDC/package-D/±10%"
"OF-SMD2012HR","D1,D3,D5,D6,D4,D2","Diodes_SMD:D_0805","","C84256*","460÷700mcd/RED/120°/1,8÷2,4V"
"1N5711","D10,D7,D9,D8","Diodes_SMD:SOD-123","","C154843"," 70V/15mA/1ns/333mW/2pF"
"ATTINY13A-SSH","IC1","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm","","C40382*","64B/1kB"
"SMA-15","J1","ok1hra:SMA-90","","","SMA/90°/female/gold-plated"
"SMA-15*","J2","ok1hra:SMA-90","","","SMA/90°/female/gold-plated"
"Mounting_Hole_PAD 3.2mm*","MK1","Mounting_Holes:MountingHole_3.2mm_M3_Pad_Via",""
"680R","R1,R2,R3","Resistors_SMD:R_0805","","C17798","0,125W/1%"
"150k","R11,R5","Resistors_SMD:R_0805","","C17470","0,125W/1%"
"10k","R12,R8,R6","Resistors_SMD:R_0805","","C17414","0,125W/1%"
"1k","R4","Resistors_SMD:R_0805","","C17513","0,125W/1%"
"51R","R9,R10,R13,R7,R14,R15,R16,R18,R17,R19,R20,R21","Resistors_SMD:R_1206","","C18019","0,25W/1%"
"HT7125-1","U1","TO_SOT_Packages_SMD:SOT-23-5","","C259579","4-24V/2,5V/100mVdrop/30mA"